X,Y,OBJECTID,FIRE_INVESTIGATION_ID,FIRE_INCIDENT_NUMBER,ADDRESS,FIRE_INCIDENT_DATE,INVESTIGATION_DATE,CASE_TYPE,OBJECT_BURNED,DETERMINATION,HAS_INJURIES,HAS_FATALITIES,HAS_EXPOSURES,STATUS_LAST_UPDATED_DATE,COUNCIL_DISTRICT,NEIGHBORHOOD,CITY,ZIP_CODE,STREET_NUMBER,STREET_PREFIX,STREET_NAME,STREET_TYPE,PARCEL_ID,ADDRESS_ID,LONGITUDE,LATITUDE
-83.2198483221433,42.3584260055076,5760,0b2a206f-db3c-489d-8e4a-850cbe529b4f,19-0029573,8830 Penrod Street,2019/08/19,2019/08/26,Investigation,Vehicle,Incendiary,,,False,2019/08/19,,,Detroit,48228,,,,,22077633.,,-83.2198483221433,42.3584260055076
-83.0325157241826,42.3483551822158,5761,25ad096d-f1d1-4dda-a614-9dafccfeb3a8,19-0029628,"2150 East Vernor Highway, Apt 512",2019/08/19,2019/08/19,Investigation,Occupied Dwelling,Accidental,True,,False,2019/08/20,,,Detroit,48207,,,,,09004470-4,,-83.0325157241826,42.3483551822158
-83.2509942558507,42.4250263932718,5762,0cb9168a-ac11-42cd-a083-e9d421e2484a,19-0029667,21171 Margareta Street,2019/08/19,2019/08/26,Investigation,Occupied Dwelling,Assessment,,,False,2019/08/20,,,Detroit,48219,,,,,22015667.,,-83.2509942558507,42.4250263932718
-82.9907769649326,42.3701133032852,5763,60509a51-a10a-45bb-b22c-98ea15a59eba,19-0029461,9383 Cutler Street,2019/08/18,,Investigation,Other/Non-Structure,,,,False,2019/08/18,,,Detroit,48214,,,,,19000600.,,-82.9907769649326,42.3701133032852
-83.2313131019048,42.3414422469108,5764,c2686b60-d9ae-456d-900e-ded6a5c701a8,19-0029473,6830 Minock Street,2019/08/18,2019/08/18,Investigation,Occupied Dwelling,Incendiary,,,False,2019/08/18,,,Detroit,48228,,,,,22090475.,,-83.2313131019048,42.3414422469108
-82.9560482954219,42.4056237822735,5765,82f30edb-cb2f-4625-b809-d2b3b12188b9,19-0029523,5960 Lakepointe Street,2019/08/18,2019/08/28,Investigation,Occupied Dwelling,Assessment,,,False,2019/08/19,,,Detroit,48224,,,,,21064700.,,-82.9560482954219,42.4056237822735
-83.0780322637929,42.3499226787652,5766,6d7e0d44-9a43-4ede-bab3-5a41c96cb680,19-0029465,1520 West Forest Avenue,2019/08/18,2019/09/08,Investigation,Occupied Dwelling,Accidental,,,False,2024/01/27,,,Detroit,48208,,,,,08005864.,,-83.0780322637929,42.3499226787652
-83.1487155094601,42.4060034270565,5767,e80234e3-d28d-4649-8dd2-ccaaf9c02050,19-0029470,15511 Turner Street,2019/08/18,2019/08/27,Investigation,Garage,Incendiary,,,False,2019/08/18,,,Detroit,48238,,,,,16028037.,,-83.1487155094601,42.4060034270565
-82.9268419139048,42.4063829329675,5768,ae22c0c2-0577-4f66-a70a-c07ab64c2728,19-0029464,4877 Guilford Street,2019/08/18,2019/08/28,Investigation,Occupied Dwelling,Assessment,,,False,2019/08/19,,,Detroit,48224,,,,,21075795.,,-82.9268419139048,42.4063829329675
-83.1729539921505,42.3616441217248,5769,81e525e0-91e5-4860-bf1e-ff09c2740a9b,19-0029544,9147 Ward Avenue,2019/08/18,2019/08/21,Investigation,Occupied Dwelling,Incendiary,,,False,2019/08/19,,,Detroit,48228,,,,,22025484.,,-83.1729539921505,42.3616441217248
-83.0659985451302,42.4083677095968,5770,a88296a4-7f95-443d-bfcf-bc19b4db4969,19-0029480,12513 Joseph Campau Avenue,2019/08/18,2019/08/26,Investigation,Occupied Dwelling,Assessment,,,False,2019/08/18,,,Detroit,48212,,,,,09011689.,,-83.0659985451302,42.4083677095968
-83.1437983814568,42.3491644973434,5771,28366bfd-0439-4097-99ba-f1b67801449d,19-0029441,7538 American Street,2019/08/18,2019/08/26,Investigation,Vacant Dwelling,Undetermined,,,False,2019/08/18,,,Detroit,48210,,,,,18013608.,,-83.1437983814568,42.3491644973434
-82.9268419139048,42.4063829329675,5772,b54a43ee-a468-4b4f-bdcb-f04d2a6f7f43,19-0029431,4877 Guilford Street,2019/08/18,2019/08/16,Investigation,Vacant Dwelling,Undetermined,,,False,2019/08/18,,,Detroit,48224,,,,,21075795.,,-82.9268419139048,42.4063829329675
-83.127436233306,42.4145155145341,5773,8ea5bc95-4602-4236-96cf-86cf8c877d79,19-0029451,2585 Grove Street,2019/08/18,,Investigation,Other/Non-Structure,,,,False,2019/08/18,,,Detroit,48221,,,,,08010619.,,-83.127436233306,42.4145155145341
,,5774,a6046e71-74ca-45fd-888d-2e6e12f76b1e,19-0029329,13072 Pembroke Avenue,2019/08/17,,Investigation,Vehicle,,,,False,2019/08/17,,,Detroit,48235,,,,,,,,
-83.1020188063016,42.4457738376746,5775,31307d1e-2a48-4360-82cb-2b7b55ca9766,19-0029426,20479 Coventry Street,2019/08/17,2019/08/26,Investigation,Occupied Dwelling,Assessment,,,False,2019/08/18,,,Detroit,48203,,,,,09024233.,,-83.1020188063016,42.4457738376746
-83.1202250627994,42.3474270380321,5776,42cabf16-72e4-4e5c-8d77-1f17306997de,19-0029369,5921 Begole Street,2019/08/17,2019/08/17,Investigation,Other/Non-Structure,Incendiary,,,False,2019/08/17,,,Detroit,48210,,,,,16011801.,,-83.1202250627994,42.3474270380321
